fact_id,type,external_or_internal,question,answer,dr_question
DI001,distractor,internal,How many new store locations did Lee's Market open in Q3 2024?,Lee's Market opened 12 new store locations across the US in Q3 2024.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI001_pdf,distractor,internal,What was Lee's Market employee turnover rate in Q2 2024?,Employee turnover rate averaged 12% with a 5% increase from Q1 2024.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI001_pptx,distractor,internal,Employee training hours Q3 2024?,Average training hours per employee were 15 in Q3 2024.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI002,distractor,internal,What was Lee's Market energy consumption cost in Q2 2024?,"Lee's Market energy consumption cost totaled $850,000 in Q2 2024.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI002_pdf,distractor,internal,What was Lee's Market average store energy cost in Q3 2023?,"Average store energy cost was $3,500 per month with a 10% reduction.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI002_pptx,distractor,internal,Facility maintenance expenses Q4 2023?,Maintenance expenses totaled $1.2 million in Q4 2023.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI003,distractor,internal,What was our workers' compensation claims rate in Q2 2025?,"Workers' compensation claims rate was 2.5% with a total payout of $120,000.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI003_pdf,distractor,internal,How many Lee's Market employees completed IT security training in Q1 2024?,85% of employees completed IT security training with a 95% pass rate.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI003_pptx,distractor,internal,Annual facility maintenance cost 2024?,Total maintenance cost was $3.5 million in 2024.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI004,distractor,internal,What was our average employee tenure in Q3 2024?,Average employee tenure was 3.5 years with a 10% increase.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI004_pdf,distractor,internal,What was Lee's Market warehouse storage capacity in Q3 2023?,"Warehouse storage capacity was 80,000 sqft with 75% utilization.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI004_pptx,distractor,internal,What were compliance training hours in Q1 2024?,"Compliance training totaled 1,200 hours in Q1 2024.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI005_docx,distractor,internal,What was our employee headcount in Q1 2025?,"We had 5,100 employees as of January 2025.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI005_pdf,distractor,internal,How many Lee's Market employees participated in leadership training in Q1 2024?,120 employees completed leadership training with a 90% satisfaction rate.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI006_docx,distractor,internal,What was our facility maintenance cost in Q4 2024?,Facility maintenance costs totaled $1.8 million in Q4 2024.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI006_pdf,distractor,internal,What was Lee's Market average store maintenance cost in Q2 2024?,"Average store maintenance cost was $2,000 per month with a 5% reduction.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI006_roundcube,distractor,internal,What was Lee's Market employee training budget in Q3 2023?,"Lee's Market allocated $450,000 for employee training, a 15% increase.",How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
DI007_docx,distractor,internal,What was our IT infrastructure cost in Q2 2024?,IT infrastructure costs were $8.5 million in Q2 2024.,How can Lee's Market leverage chatbots to enhance the consumer experience for centennial shoppers?
